aadtenantid,intuneaccountid,count
1ddbb8f2-1790-4f35-ab55-54465ce0a9cc,eeafbcba-e2e8-427d-994d-a8d16703eb2d,63
d344fc8a-8286-4945-9a21-49aed506d485,1f51322d-ba22-49b2-aaa9-ce823dc50b7f,55
0ed45188-c605-4511-8b80-3a5831be1abc,b9970789-4a76-47e6-abce-038bc21503f6,50
04d1ccf1-2a44-4973-b5af-b42bd07e4791,2e4f6e6d-f513-4739-9ad5-f78bbc8145d0,46
11bfe7ed-a96d-47b8-93b9-f1d5ced7091b,8006f020-2b63-4986-8e36-450eebaaf52c,46
a86dc674-e6a2-4c25-b4ba-e36c31382530,b9faaa0a-1212-49d6-b318-b03d179fca2b,42
97fa1f96-7877-469f-aa37-1f8568e3a3ff,643781fd-8c46-47c6-91fc-885d8104873a,42
3f6dec78-7ded-4395-975c-6edbb7d10b16,c7f5a352-4ae1-4546-89e4-fcddc20b4244,40
a3d5bec9-2414-41cf-a8da-9efc4cd4ea22,cdec0bcf-c2ec-4834-b5dd-84da55fd3734,39
f6bfbd29-f210-4603-b3a8-136a1d750e90,d1b43083-bc00-4876-b944-bf7938adb6be,37
2ede383a-7e1f-4357-a846-85886b2c0c4d,4100adc4-777d-4656-9e3f-1c5e0492c9a3,35
e51a0494-54df-498d-96d6-a06b38ecfafd,dacf0133-2214-4ef4-b1bf-22813bce36fa,34
b945c813-dce6-41f8-8457-5a12c2fe15bf,2f5f21cc-6642-4c40-a28b-de23f8e07bf0,33
0bdb45c5-7745-49e0-aed4-f5dda44438af,530ff607-4fcf-4b48-aed4-7f515de4b061,32
4eead4d6-5e97-41b2-b49d-0df83f2f5c70,2f353330-b0a3-4338-9657-7e798698f14e,32
484a70d1-caaf-4a03-a477-1cbe688304af,71220c30-d705-4f90-937d-f23e52bd6fdf,29
7f90057d-3ea0-46fe-b07c-e0568627081b,8d147b89-a0fd-4ef4-be7c-4975353784d4,29
b11f4293-f7a7-46af-a85c-e00382f1f058,7faa6bdd-c700-43ec-b655-81b2e457b3e0,24
de6b4519-2aff-4ec3-9731-e2ab1706ef12,96e22c67-253e-4bee-8935-4a0ceba2eda4,21
72ebbe77-7a80-49bd-8767-a19d08ab746c,310316c0-3868-4408-a888-0109e4c09442,21
956da9b4-455a-4590-8de8-f66d6885fdd5,b9a2ffb8-35d1-4e1d-8169-34b90704f70d,20
d2033364-dec3-4a1c-9772-3f41ca7c4b75,2d1d5517-905e-4c09-aee8-7b0e491cfea2,20
f1289cc5-8456-4f28-8eab-700d1300fc5d,e305462a-da6f-44f2-9607-ed3e88b846c8,19
7bab0bc1-bb61-48d7-b2d4-79825c2ac6b8,ec885412-4792-475e-a917-f96fb28052a6,19
30ee5bd5-bddf-42de-bae5-ab7b17318017,4818975c-de13-4fc0-ab43-9ea5971eaee7,18
45345057-6ce4-4028-a678-90c1e8f0e0fb,684090eb-a0e2-4682-a6de-0a931638618f,17
9723591a-3fa5-44ef-8915-77f5e1978707,4b44949c-383a-4848-8450-f282a19560fb,16
d584a4b7-b1f2-4714-a578-fd4d43c146a6,db8f5ee5-ab15-4a5b-a935-f8ee15a17212,15
cc8936bc-9382-4fff-87cb-6f55999549e7,47b8bb8d-ec79-40a0-9379-043c56ec67eb,15
bfde69eb-fcdb-4423-aa7c-a9cee0239dd2,e229750e-95a8-412d-af93-d60654e91d3f,15
f40a10f0-50ee-4880-9a37-6e1dd4ac2ff3,28fc9bef-7a79-4d0c-9d5c-903aeccd2edc,15
29b5a602-9a6c-4075-a661-6e36ca016875,8f17e99a-f946-4ec4-b35e-2228834ab1d9,15
94cfddbc-0627-494a-ad7a-29aea3aea832,22b27438-e6bd-449c-a6d3-807d5ce73260,14
c0a9410c-810d-4459-8079-9cf79a040d28,628e4769-0587-4bf0-987b-4f92ab3df23b,14
3e20ecb2-9cb0-4df1-ad7b-914e31dcdda4,d5d0f993-884c-4e82-898d-f2594783286c,14
5fe198e9-aa7c-45d2-9da7-4fbbeb5d542e,c5670264-de93-406c-8a1e-6ed19271adb7,13
0002cd24-7dd6-4542-acd6-e0c7e184c80c,8a7e4bf6-094a-4665-b123-cb90d99056ef,13
31fa3fc8-0d67-4b00-8f5a-3a9a69c281b8,e65df82c-c1cb-446b-94c5-4b010bb7df38,13
531be71d-a50c-4412-8139-a04fdd90bf48,4683e24a-8203-43b7-a8dc-6064eedc3410,13
b8651115-3826-4321-8693-68f1fd6144ef,ba690b84-8f5f-495b-a4ad-4cf056f6e5a6,12
6e74b49a-86de-4375-b955-1559f03d6366,7413ccc2-f3be-4d24-bd26-16bb06a9247c,12
457a2b01-0019-42ba-a449-45f99e96b60a,697535ed-2694-4cbb-8138-4e83f5e8deb3,12
fe288520-7f79-4082-b421-e7e4466bac97,1a508d56-fbeb-4a18-9688-5521e722d7cc,11
c5ea8434-25f6-479b-9e5f-b7bf04dccc41,0e4e65c0-fdce-4618-8e81-85e7fd987746,11
93f33571-550f-43cf-b09f-cd331338d086,f7dafe39-4471-4680-8f37-45f649ab2c70,11
2dfb2f0b-4d21-4268-9559-72926144c918,b1e1bbf6-ba8a-4d51-9eca-4a47cd7d183a,11
7530bded-fd6e-4f58-b5d2-ea681eb07663,7945413c-7da0-4a44-b086-380d72573b54,10
847d7825-6a68-48d7-8ca1-326b88f0ad7d,f5e8f22a-7c45-442c-af12-c3633bb435b7,10
14b42516-568f-483b-a141-800cfd1be324,e45777f7-898a-4ba2-a1c0-a936b5e1820f,10
e2f449a1-4cf6-43e3-911c-74f3ca9744f3,aa5b4e78-bebc-49ad-b7b5-4114136ff833,10
be0f980b-dd99-4b19-bd7b-bc71a09b026c,10b9a06a-9a20-4aa3-be74-4aa89125557c,9
3f27f816-99e9-48e2-96b8-7197a663025b,4961969b-521b-4c7d-9df0-32898aa32acb,9
101ce67d-13f2-447a-bb65-0989b89dfdb4,addcf79e-8621-4c17-a10d-a5642426d1a7,9
5de110f8-2e0f-4d45-891d-bcf2218e253d,347c0d9e-ea9c-4633-96e6-3430ce504bd6,8
19e2b708-bf12-4375-9719-8dec42771b3e,a5acc7fb-ad01-4ba2-9623-3bcccff5409d,8
ef0aebeb-2af0-47a3-b8ae-5665f8a62d11,2e1dcc0c-6a65-4761-9dd7-18f641af43cf,8
71e34cb8-3a56-4fd5-a259-4acadab6e4ac,610c0346-5b17-403c-8ac2-47b587c2bfc5,8
ea8169ae-5c8f-4084-ae68-dda3e183a101,6f4d42f4-4dc8-4253-a252-0db24fc4a067,8
ab44e261-e329-4327-bbdd-17a5478226a1,392866a4-dd8e-4b69-9bbf-3496e9a651c4,8
952208ba-2fb4-48a8-9de6-675d3f1026f3,a00edd38-d5ad-4068-a5d8-8c17d6365acc,8
88cdf2a7-203d-408c-a5f6-de83266fa5cd,abd9bc8d-dfdd-4de0-9551-d437a782143a,8
a3762290-1a94-4aa4-8cdb-57f789a4b796,5c2901cf-5653-4a52-81d2-720ab347b2d2,7
7893571b-6c2c-4cef-b4da-7d4b266a0626,4ee5baa6-f30a-42a5-b9db-622435569337,7
950af356-6025-4fdb-96a0-a9be6b893fec,e3310376-30a4-4a02-b07e-cf5ca8c43073,7
a8e87d00-317f-4429-b6f1-ceac0115b7d1,07c0dd92-5c7c-4d76-b3ac-4cb45c606d8e,7
fd753b92-f3b7-49fa-95cf-aed075c0f21c,91d84992-7888-454f-9177-2d430053d349,7
53523eda-1220-4176-bf9a-055ca7551376,7ece690c-094b-42ff-8c32-459b00f93669,7
54dbd1fe-c2db-4f85-b19d-b18c1cc3fae8,e0bdf67f-7ba9-46e6-8c77-34a5e4adbdd5,7
13032817-74ea-4a18-bd2e-7148950efd14,7b0c7278-7f51-46db-94c1-4bfca3294cdf,6
2434528d-4270-4977-81dd-a6308c1761a3,93bc74db-7a0a-4478-ba6e-6b5466c4adc1,6
d810b06c-d004-4d52-b0aa-4f3581ee7020,d5ce0afe-abe9-4d15-a621-5b8ec56bd087,6
f4dcdb22-a4c7-4f4c-a390-1954365b828c,91cb0cb3-687c-420a-9c15-2916ac1e3c97,6
bb6b3fea-ae59-45f9-a58e-249b56625336,81c0aa52-f24c-435a-9b68-787f6f6b35ac,6
7dd39bbe-b7a7-4950-aeb0-c502c9f05c20,c9fefd8f-25f8-428b-ac02-813fb01fe324,6
b1c14d5c-3625-45b3-a430-9552373a0c2f,0a986aa8-6921-4d0d-b3f4-33788303dd17,6
ff9b87e3-c548-4b3d-8782-7cf47b86c057,2a4c0dd3-ec59-4baa-bcee-175156c76fba,6
8ff68ac3-7f87-49cc-8c0c-c371edfed04a,82bf987f-470c-4511-92c1-648911d93c38,6
36b43a74-89fe-4652-9783-964a2c5f9b48,87e44ee8-21a5-4742-b142-5f0c6a346287,6
b1b05ab2-8e59-4f35-8b83-76d9a026391c,d0bb92c5-f15e-45d0-8577-46079e070a2c,5
2a4e4654-c794-4b09-b37c-89c92925d136,55fbc01f-b664-4ae4-abbf-611c9c96086d,5
a1f1e214-7ded-45b6-81a1-9e8ae3459641,a1852fba-4936-4600-849e-ecd5b629db90,5
41eb501a-f671-4ce0-a5bf-b64168c3705f,718ecc35-4078-4adf-a5b6-44f74e4bfa67,5
fd711286-496a-49d4-a9e7-056fe461f9db,4a83830b-c25a-49f3-953d-c0b09716dc88,5
12d4a11d-6aff-46c2-a2ed-ccc3494f903a,51bbd5f5-b0c5-4b40-8135-f74c5f8fcb72,5
32e232f6-4e92-46d3-b401-fe8baa3788e9,b12dce0d-0852-4c52-95f7-b31e6b83c322,5
90aa9e78-527f-404a-9c53-b0e4065c8287,ffe46a3f-8599-4d62-a427-6e245983034d,5
fa4da132-35c8-4842-bc84-851b1a5020ba,adbbaa06-7e99-4d43-a9a0-8b43ccdeea26,5
cc9f55cb-28a1-42fe-947f-a5a399a1ddb6,89dede79-f622-45a3-a2e4-dfdfca4fcad4,5
a8b027e9-7f32-430c-97c4-47dd7af95c70,b31b630f-74e1-4dff-a530-4a080082288e,5
381d31b0-f4b9-4f22-a0dd-92488db3eb82,35781a81-2097-4a85-a379-1c5efdd05572,5
578ecb1a-4448-4c2d-b6eb-9fe9df3b72fa,4fc2345c-4688-4ca5-a697-ea5f4adb0d4a,5
d968928c-f50a-40b9-b9b7-01ec79503152,ae240616-9316-4958-8a7a-4fc97ec64469,5
b7be7686-6f97-4db7-9081-a23cf09a96b5,164b7feb-4f2b-47c5-97dd-3c2826dc9017,5
2fc13062-e6ea-4a72-872e-044f7c08efcd,89659e03-4c02-4c0f-8f50-b1b806390ca0,5
d46bb019-9c5c-4986-a1c4-51348fd7ca96,5e5977a5-c9e6-4f86-9d32-9ff5a9d76bc7,5
29efcf4a-10b7-46b2-9d8a-2b447a988c44,661798f4-1b27-412c-99e5-084fdb021290,5
b4a568b9-c3f7-451f-9e53-b6d9c8b4e9df,0baad8f6-e2af-47b7-8434-0480cf2a3b30,5
b9f74a40-89a4-49e8-9969-7842c4748a82,e9c297b2-789c-44a1-80d4-4081c480474b,5
8e41bacc-baba-48d6-9fcb-708bd1208e38,26f022b3-7a9c-49c6-8dc9-d771c1cb1c4a,5
c6d14ca7-2eb5-45e4-9947-f5a2a5894fc2,151c4048-0246-4f6a-92fe-22af9b68bd07,5
a7220fd8-b71b-44f9-b153-117f6a6a7b2f,46ef5ec1-0160-4607-9391-1f4f4154d5d1,4
de2c154b-2ca8-4329-8b19-88b9f7fc49ce,844de408-fded-4a4b-9b64-d9d12867c239,4
4c0f48ba-5f29-44b1-b29c-1aff8251101b,04b778a6-1321-41d5-80d7-eac775b2a739,4
79c0f8d9-f033-4471-8268-c49ae7dfa1b2,28e61b7f-dd7c-40d1-aeb0-f85eaea83e42,4
8ac76c91-e7f1-41ff-a89c-3553b2da2c17,337192a6-faf8-4790-a72d-94204d1726b3,4
2155e298-b11d-4c12-ab6a-a570659e6eca,f15c022c-9dbc-486e-b6e9-63940a4987c5,4
b45b2e14-b22d-4196-b48c-b1b5506c874a,cd48508e-fa20-48cf-b901-b1f91daf9cf9,4
b5661350-c2e4-43dc-bce8-f003ddf8a3c4,c3a67002-74ba-415f-8882-06ef4a82c8c4,4
106f466e-699f-4890-95de-2348a6019726,6d491daf-6e0c-45ca-b3d7-6fb1885d3eea,4
2d3eb22f-f37a-491e-b7e8-1c7338fa0563,2e8bfa2f-7029-44c7-90ba-75853593025e,4
750b5c32-3a4b-4206-8f3f-0b1be6f9c1ae,575e8b34-78e3-403f-86d7-21a505dac278,4
036da35c-ba43-4e4a-9bff-72ec0f508621,16356b30-2ec7-4e3a-aee2-6dd37eb15c08,4
659c7f88-ca58-4b80-8a34-2e1e53a577dc,cf4fdb13-3d77-47ba-9bc8-38f42c62b021,4
6c115cc4-d107-4635-81cd-0617e0344073,28a62d3c-b68f-46c4-af77-ed15869e0c02,4
1a787762-395c-49cf-bfad-47f2f4cdd89b,49f630d8-3ad2-40de-8abb-83d0e52cada6,4
45cb9485-673d-45df-a2f0-27486343afda,3a27b0b0-ad51-4891-8151-fab6978dbeaa,4
35b02b4c-f3e7-40d5-b16d-18163e564750,427a377a-b39b-4b18-91a5-ba6a69d0748a,4
095c7936-2786-45e8-825d-62582a61f6dc,cfa3173a-4aaf-4ae7-87c3-07f91e589752,4
6859a4fa-c421-40c4-bc20-3fb21506e2f1,80708c9b-9b9b-450c-b171-f8f4bb29ad1d,4
faf5cef3-1f6a-43d7-b2da-83cf0e821b62,10c860c9-fd5f-4fc2-94ac-00be3fcb794a,4
704e446a-6e66-4d4d-801b-0f1e29888479,907f0bf7-9327-4f59-adb9-8e511864aa30,4
44ff9210-0b67-45b2-a1a0-959235776ce6,6d501e8b-bb36-469f-b21d-0938425aeb5c,4
35da0c1e-9ab3-4aed-a9ca-8d89f0036e17,67af3e75-c1d9-45ad-a8e2-37a2a1919214,4
cca33585-8edc-45a3-bac6-3b376a00a791,b5c3c92a-2577-4c32-b2d2-f95edafe848f,4
d441ad83-6235-46d6-ab1a-89744a91b1d8,6adfec37-a257-4965-ac70-ed26817e9faf,4
43481f82-e6d6-43c5-ac7e-263137f62d79,d22ffe95-fba4-43d3-bc8d-fc5be493725c,4
3aea1373-732a-410f-92aa-1aa88a1f2282,31bb029d-61f7-47cd-933b-c97d378e9d3f,4
fb9e9682-0122-4c27-ac68-4c419bcfee51,e4c9b650-d4db-4323-8768-01f7d07f7488,4
fcdc7058-dd48-4a81-90b6-281159ae72e0,e945e9de-bf0d-454e-a1c5-f3a28bfaf4c4,3
430c8e9b-f6ed-4977-ac62-88730327849b,963544d9-1ee6-48f8-9da7-b64f6fb3da6c,3
6675db40-55e0-4a98-a838-66f4a0c06b1b,ade1ffee-d1b9-4bd9-a91a-bff8f6a533f0,3
0685d760-4332-4f24-b2ea-ffbbc2383f15,fe403e1c-5cdd-420f-879d-c572ba16448e,3
56bc28d8-9d91-479a-9426-65273e7a9fbf,16557b41-a18c-4328-aee5-77823df8513d,3
d2053627-ba14-4532-8b68-95e6bdb2da83,03dc40df-91ca-4318-b542-7c019c114df9,3
facac3c4-e2a5-4257-af76-205c8a821ddb,18f2f9b1-52c6-46cd-a1aa-4f5884e5d470,3
0fae1cea-e49a-40f0-94b3-be5e19bbdd91,500dd2b8-6770-4e8f-8d1f-7b4c0ba980a6,3
f40498f4-c847-44ae-a22b-2592af420bd8,da612159-08a7-4d24-bbc9-21d010ca0031,3
b67d722d-aa8a-4777-a169-ebeb7a6a3b67,2c5660fa-2ec7-4a5d-b507-7384ec81f4e4,3
015d0fbf-d71c-45b6-bffc-a21028b569b7,cfdfd9cf-2b68-4d70-892c-24146d68aeca,3
49633e65-08b5-4fac-9c41-072a7a2dbacf,d6fd373a-8bc4-470f-8ae4-ba8880e14b1c,3
e1565a12-3f1b-49b3-a237-2f9fdd3a7f31,e18b28c4-7213-4b09-83c6-7dbdc6630210,3
7a403b79-027e-4356-8754-75db293378b1,b9180a37-69d9-433f-a02b-a56742542055,3
d33bae5d-6d73-4a56-892a-35554e16c9b6,cf2b63ab-2fdc-4c86-838f-5f256fbc0521,3
7a9376d4-7c43-480f-82ba-a090647f651d,103efcc3-a78e-462d-b055-fee6e557ef85,3
5782cd3d-76b8-43d6-ab95-cb4aecfc7c8b,ea7fa5f4-8db7-41d5-9b41-57759f3576f6,3
bc790753-dc67-4afa-9e3b-622f3a8c0612,fbb0c9ef-1373-459e-bae6-0d74c72f2f24,3
e6f978e1-75d4-4db0-904e-5b79fb778570,6f920983-ab01-491e-a762-ad612df983ff,3
c5728ba4-fadc-429f-a0ec-b819d9aa7ce0,996c3047-fde9-495c-85c7-8fec5561e018,3
783aa708-6112-42a7-b855-c7296ee31b8b,b326258b-f161-46dc-930a-d4d6c914f559,3
918079db-c902-4e29-b22c-9764410d0375,f7941bb4-08b4-4004-ae66-bf3b10222253,3
93ab049e-af25-4b60-917a-5b1af79fb027,39fa66ab-392e-415b-85c2-c28bc326b3e3,3
7ab6f1e9-1f52-4e7d-b852-1072689c1ea2,71fa5344-3a33-4217-8361-68d7295a9d0d,3
7e2324c6-6925-427e-b56d-4e6eda16752a,082e2020-150b-4fd9-a765-12d062ba51b5,3
38e00f45-011a-432f-a79c-7fb1bea84c2f,4d8ab920-9b2f-4dde-b00a-b4d70c153bd6,3
390d1495-7e6d-4009-ad40-9a29b6067f63,f4b05502-6364-426b-8f8d-ffc4e1eebc03,3
12683cb0-e19b-498a-a97a-9d7db9d5bd64,f0f0f264-9030-40ba-a473-9ea6a039bbcd,3
92247c24-8a8c-47f3-a7f1-85df939ad4b6,65928cf0-345e-4b36-af3c-4c3943be9e1b,3
3143a543-edee-49dc-bd20-22d7a8454e52,5d0c4348-3f2b-4d88-b8f1-a53f05beaf32,3
e5bd3c32-3235-4c1d-a4e2-80e86c8cc2e7,5b56c586-e985-4918-96ca-d5ab2a87dfcf,3
a48cca56-e6da-484e-a814-9c849652bcb3,c14dc203-cd9c-4a99-9376-0e596f63750e,3
0091f901-8eb9-49ad-a413-3bd58cb1aff0,ff3d62bf-d30f-4e2d-8637-0a1d65043e3e,3
f919b1ef-c0c3-4735-8fca-0928ec39d8d5,54518958-b409-404b-b6f4-3ce172990204,3
08276de6-cfcf-4de8-83ad-5742751688b8,75d6f4a9-dcd6-4ab3-ad67-12dcb4958a8e,3
4d3d260a-9c40-4306-8dac-0d64717039ec,0e92263e-11ca-4f5b-b028-c5bfb404bbfe,2
8ab849ad-327f-42bc-8950-cf82d4491bd6,171ed52f-0cbb-48a5-98a2-5e7d4427e940,2
0f69509a-e6b0-432d-97f7-25f51d88fff6,eb964132-c872-491b-b1cd-79da0fdd816e,2
882f51b7-4eac-483a-8519-a6db0cef8507,cdf223d0-dc10-4f4f-af1a-db274171952d,2
7c5d5df7-38dc-4b8d-b84e-4c5697ddf810,960b0a97-f249-4d65-ad4a-f179d48422fc,2
24884996-6863-4925-a1ba-f1a160b581e2,2b9d27e1-f7c9-42bf-8871-f3aac6e816a4,2
8b24586e-3d8e-4046-b6ee-e19d083f43d6,63c30f22-7560-4d8f-ae1b-03154f64b55c,2
e39ac657-392d-44f6-8431-a2268d368177,b85e38e3-46be-42ee-9925-dbd9be6f885a,2
ece76e02-a02b-4c4a-906d-98a34c5ce07a,0d1e4f23-5333-479f-a9ee-cac9f916d4d8,2
66dc1f77-2e0d-4d13-b961-7c2e63aa376b,3c23707a-537a-4c7b-98c0-5c2f0acbcf32,2
a2ee8ff4-2769-4c1b-b831-c176600b3951,53ce9ec8-957d-47ca-ae46-78e081d7f1d2,2
04e1674b-7af5-4d13-a082-64fc6e42384c,227eeddb-32df-49d5-a7ad-32ee8b5d0270,2
00fc52ff-64ed-4568-9136-13fe046f4b40,31585b6e-3c8c-47cd-b6cc-f30c9665bf41,2
c40425bc-70ca-4186-a5c9-eb0bf42591ce,c55fb364-7662-49e9-89f6-75aef1944c78,2
41509a91-898c-4e41-8696-2218c763c443,d5cc7f15-eddd-4e78-8647-b6fbfca946b0,2
33ef7aef-b39d-4300-9645-938131b31d9c,00fb741d-cbfb-4b44-8d1f-4ad45e23f3d0,2
255ab659-24e8-4d0f-b0df-7db78e5506bc,1cec7782-0f2c-404d-9e5f-5cb672bef061,2
20643ea8-fc02-4189-9323-b88ad0341171,ef47d867-9100-4d1b-9993-aa66d5d74284,2
25ffe649-2d94-4266-ae75-6f10049d4a98,d7bf68b3-c24a-4b90-b6e0-4c45245f5a2e,2
454af2c9-bf01-49ef-a69f-c72801a146e4,fa1373a8-831b-4ade-b3fd-953191d96894,2
8fc43c60-4563-43cf-ad1e-b9b67501268a,0960430f-e8f5-4f3c-831e-824e2d865122,2
80354804-1fdf-428e-9f5f-5091e994cf54,515f4657-8928-4daa-8d73-af17bd8ac99b,2
c7c0c12a-f912-4312-b7b0-3103df042b97,2fbcb988-9512-41d8-b9f5-9301570385b9,2
0b03090b-7ffa-45ab-a46b-387130ec0633,8e46cc8d-9267-484b-b75b-9422aa6144db,2
c420e8da-0cff-499b-aa7e-d3513b46205c,fcbf9e6b-e188-4e21-80aa-76949fae4643,2
8a531aeb-1a2d-4cbe-bfc1-48d8cbdb3642,3cdf43e9-5278-4ec6-9d68-5d87a4c02003,2
73e72f79-bca8-4950-9657-bbf880560def,ed1f2293-69d6-4dca-ada0-35ffff0f8d16,2
10e5761d-5d54-4722-83ff-526db4062a78,6b1bd82d-3a6e-4bec-88fd-fa206da82b68,2
ded741cf-7c7b-40e4-a99b-28a3d26a5836,cba2b9f5-e8c5-45bc-ac36-d8a997da1bcc,2
13c3c64e-0de1-4c09-a5db-6ae863575a49,106d23d4-91d1-47b0-9c9d-e03c65b08e18,2
7ef3a6e7-aabd-4b6a-b92d-48b39690b379,8caa6df1-6d52-4c08-9b32-ecfb30f2de53,2
4327982f-f49c-4cfa-b362-e23ffe2ef96c,a7fbe30a-9b90-438b-a4ff-6ccc6ae431a0,2
6e96d94f-816b-4f35-806e-47668491cc72,215a7f1c-1e11-44ef-a16b-2e4fc3e6cc16,2
2bec672b-29a0-4df5-ab85-f37e050b36ef,26e14de8-09f8-49e4-965b-1aa3a0c3338c,2
f86f8805-ad14-4343-9a0e-dc1c0ff7a431,26d8e40f-3fc2-4d43-8379-d44ee102a09b,2
38d31a80-d896-4a2c-a898-36edd86eab2d,ff481f42-285d-4eb1-b311-7d41850854bf,2
43c7fa0d-fe1f-4201-980b-3d9be41913e3,cde80097-a6a4-44a3-94e3-298372fd0d27,2
b5db96d1-980c-4944-b397-ca7ef585d435,ede65cee-70c2-4c7c-8e30-3847c3387738,2
246cd56d-4504-4a0f-8590-e264028454c6,b7bd0779-3ec8-4151-a2bb-46820045c267,2
b68c6481-b22b-46b3-8c4c-0024bb9b9b1f,4daa748f-c496-4209-8275-7f54655f0106,2
923e41ab-ad0f-4624-8c71-f66a298cc0f9,6eca43b2-57e5-4f3a-99db-ac88e86151c6,2
c12fc62a-7568-4b2f-aa0b-5c0cdbaf5faa,4c5e4bd1-1145-4143-aff6-e903b071089e,2
87a7e5a4-ceb0-45b8-b97e-006908a8fc2c,d299b3b8-5760-4cbf-b2fe-e3702178da5a,2
7e2d0264-a2a2-4777-b1a3-dfded140a4b9,1d075b30-3372-446a-acc4-4194d637dfaa,2
1933ab14-9e5f-439c-b8dd-0ee0b4644dba,b125ebe4-670c-4d8f-bb2c-131d70f8cbe8,2
72e912c8-b141-4a0c-a83c-b1d892609013,254c02b1-d576-4c8e-86de-77eaab707274,2
d9da684f-2c03-432a-a7b6-ed714ffc7683,065142da-91a8-4748-806a-61b6a5150adf,2
81a7d915-1995-4db8-8e80-18bcdd75c538,9db48594-297d-4d34-bf4f-148dd234852a,2
b3fba410-ff62-41b9-b7ea-8f3e8e5319bc,054040cc-3ca8-478e-90d4-a5e79e7e0a6f,2
2916a955-0360-416d-ba9a-1608933b9065,73d66134-c176-4c32-863e-29153f265dbc,2
8820279b-c0be-4bde-83ed-fe6b6f9724d5,671e91e7-65c7-4e7b-8393-c5ff3cf6a14a,2
8d088ff8-7e52-4d0f-8187-dcd9ca37815a,cd40e30d-26e6-45a6-a300-ee19abe5bcfa,2
35a18317-6e9c-4723-bec7-7ecaa6afd783,98ad0237-9003-4603-b743-69e5a7dd6dd2,2
9cdcfcbf-25c3-4e08-b72c-17cc2a8ffc43,ce51536f-449a-47dc-8bb5-99b9371167c5,2
2d69f4b4-7b0e-4184-8681-9a47aad739f4,092f2a2c-d82d-4aa9-ac95-69c0c623a394,2
60436191-a420-448f-b3e5-9d00da0b2a58,2268b97a-7959-44ae-89ce-a445df385ae5,2
289321e0-9db6-4644-b371-956e6056d9eb,cac6f888-fa35-49ed-91e3-2697f20217fc,2
ecfb9980-ca76-44d2-afcc-5a8e6d4e4fe8,f30730c0-37de-4eb5-964d-d6efc9de267d,2
3f872cc2-5507-4259-b94e-c11ec61f9cf3,3dd7674f-25af-4379-b045-1ab4fd575d55,2
3c54a4b2-7344-4f24-bfbb-6cb340e141c7,514c0f9f-bf84-46ba-b6cc-ac2553c69357,2
b03b8cb8-8756-4add-90c2-9cf6a86d6056,040ca4d1-04c4-42c3-a12d-e1f5aacd984e,2
d3e30e3a-989a-4af4-b9ca-4e6ac1e0da94,6f4e5221-6c97-4899-8355-5925e18e2d9a,2
8172f932-5feb-4c4e-af27-7ccadf81b8ba,8eb98ed0-4f2b-464b-8af9-80ac3998dbec,2
9356ab53-e6a3-4b3e-ae06-a65cdaf3b31e,65734271-28be-4f4f-8445-02bac20eb5ed,2
7c7fea3f-e205-448e-b10a-701c54916e39,0c04d664-afb5-4807-9dcc-8bce721e020a,2
bd5f9dcc-7015-4258-b079-1a995ec9e936,1623418b-412b-434f-9a34-5d5dc04298d8,2
